Issue_Key,Issue_Type,Summary,Status,Priority,Sprint_Name,Sprint_Start,Sprint_End,Story_Points,Assignee,Reporter,Created_Date,Updated_Date,Resolved_Date,Epic_Key,Labels,Component
PROJ-1,Epic,User Authentication & SSO Integration,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Morgan Chen,Sam Delgado (PO),2025-09-17,2025-09-30,,,api,Frontend UI
PROJ-2,Epic,Dashboard Analytics Engine,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Avery Okafor,Jamie Reeves,2025-10-01,2025-10-04,,,api,Authentication
PROJ-3,Epic,Data Pipeline Migration,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Chris Albright (Tech Lead),2025-10-04,2025-10-24,,,accessibility,Infrastructure
PROJ-4,Epic,Reporting Module Overhaul,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Jordan Rivera,Jordan Rivera,2025-10-03,2025-11-20,,,performance,Infrastructure
PROJ-5,Epic,FedRAMP Compliance Hardening,Done,Highest,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Quinn Fitzgerald,Avery Okafor,2025-10-10,2025-10-25,,,accessibility,Frontend UI
PROJ-6,Epic,Performance Optimization,In Progress,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Jamie Reeves,2025-10-14,2025-11-07,,,performance,Backend API
PROJ-7,Epic,API Gateway Implementation,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Casey Williams,Jordan Rivera,2025-09-29,2025-11-16,,,compliance,DevOps
PROJ-8,Epic,Automated Testing Framework,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Taylor Kim,Sam Delgado (PO),2025-10-03,2025-10-12,,,data-pipeline,Database
PROJ-9,Task,Create custom report builder,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,8,Riley Patel,Chris Albright (Tech Lead),2025-10-02,2025-10-09,2025-10-13,PROJ-4,"tech-debt,security",Infrastructure
PROJ-10,Story,Add export to PDF functionality,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Drew Nakamura,Pat Morrison (PM),2025-09-27,2025-10-17,2025-10-13,PROJ-2,compliance,Database
PROJ-11,Story,Create compliance audit report,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Jordan Rivera,Chris Albright (Tech Lead),2025-09-26,2025-10-12,2025-10-12,PROJ-5,performance,Database
PROJ-12,Task,Implement rate limiting,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Jordan Rivera,Pat Morrison (PM),2025-09-28,2025-10-15,2025-09-29,PROJ-7,"compliance,fedramp",Frontend UI
PROJ-13,Story,Create data lineage tracker,To Do,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Avery Okafor,Jordan Rivera,2025-10-02,2025-10-07,,PROJ-3,"compliance,api",Authentication
PROJ-14,Story,Migrate ETL jobs to new pipeline,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Alex Thompson,Casey Williams,2025-09-29,2025-10-08,2025-10-07,PROJ-3,"performance,data-pipeline",DevOps
