Issue_Key,Issue_Type,Summary,Status,Priority,Sprint_Name,Sprint_Start,Sprint_End,Story_Points,Assignee,Reporter,Created_Date,Updated_Date,Resolved_Date,Epic_Key,Labels,Component
PROJ-1,Epic,User Authentication & SSO Integration,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Morgan Chen,Sam Delgado (PO),2025-09-17,2025-09-30,,,api,Frontend UI
PROJ-2,Epic,Dashboard Analytics Engine,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Jamie Reeves,Alex Thompson,2025-10-01,2025-12-11,2025-10-28,,tech-debt,Documentation
PROJ-3,Epic,Data Pipeline Migration,In Progress,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Alex Thompson,Chris Albright (Tech Lead),2025-09-24,2025-10-14,,,accessibility,Infrastructure
PROJ-4,Epic,Reporting Module Overhaul,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Drew Nakamura,Jordan Rivera,2025-10-03,2025-11-17,2025-11-07,,fedramp,Reporting
PROJ-5,Epic,FedRAMP Compliance Hardening,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Drew Nakamura,Jordan Rivera,2025-09-28,2025-12-07,2025-10-19,,compliance,Infrastructure
PROJ-6,Epic,Performance Optimization,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Jordan Rivera,Casey Williams,2025-09-28,2025-10-10,2025-10-26,,accessibility,Reporting
PROJ-7,Epic,API Gateway Implementation,In Progress,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Casey Williams,2025-10-11,2025-11-14,,,performance,Database
PROJ-8,Epic,Automated Testing Framework,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Avery Okafor,Casey Williams,2025-09-19,2025-12-15,2025-10-20,,fedramp,Backend API
PROJ-9,Story,Add role-based access control,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,8.0,Quinn Fitzgerald,Drew Nakamura,2025-10-03,2025-10-13,2025-10-07,PROJ-1,"migration,ux",Reporting
PROJ-10,Story,Create compliance audit report,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Jordan Rivera,Chris Albright (Tech Lead),2025-09-26,2025-10-12,2025-10-12,PROJ-5,performance,Database
PROJ-11,Task,Implement rate limiting,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Jordan Rivera,Pat Morrison (PM),2025-09-28,2025-10-15,2025-09-29,PROJ-7,"compliance,fedramp",Frontend UI
PROJ-12,Story,Create data lineage tracker,To Do,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Avery Okafor,Jordan Rivera,2025-10-02,2025-10-07,,PROJ-3,"compliance,api",Authentication
PROJ-13,Story,Migrate ETL jobs to new pipeline,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Alex Thompson,Casey Williams,2025-09-29,2025-10-08,2025-10-07,PROJ-3,"performance,data-pipeline",DevOps
PROJ-14,Bug,Fix CSS overflow on mobile dashboard view,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Avery Okafor,Chris Albright (Tech Lead),2025-10-02,2025-10-15,2025-10-06,PROJ-3,"tech-debt,compliance",Documentation
PROJ-15,Sub-task,Add input validation to implement server-side rendering,In Review,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Jamie Reeves,Avery Okafor,2025-09-29,2025-09-29,,PROJ-6,tech-debt,Backend API
PROJ-16,Story,Build user profile settings page,In Progress,Highest,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Taylor Kim,Pat Morrison (PM),2025-10-02,2025-10-09,,PROJ-1,api,Database
PROJ-17,Bug,Correct date parsing for EU format inputs,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Riley Patel,Drew Nakamura,2025-09-25,2025-10-16,2025-10-09,PROJ-8,security,Frontend UI
PROJ-18,Story,Implement API response caching,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Quinn Fitzgerald,Casey Williams,2025-09-30,2025-10-05,2025-10-09,PROJ-6,"performance,migration",Frontend UI
PROJ-19,Story,Add MFA enrollment page,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Drew Nakamura,Alex Thompson,2025-10-01,2025-10-16,2025-10-08,PROJ-1,security,Documentation
PROJ-20,Story,Create performance test suite,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Casey Williams,Taylor Kim,2025-10-02,2025-10-17,2025-10-05,PROJ-8,security,Backend API
PROJ-21,Bug,Resolve race condition in data sync,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,8.0,Jordan Rivera,Morgan Chen,2025-09-26,2025-09-27,2025-10-13,PROJ-1,performance,Authentication
PROJ-22,Story,Redesign report template engine,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Taylor Kim,Casey Williams,2025-10-02,2025-10-12,2025-10-17,PROJ-4,fedramp,Authentication
PROJ-23,Story,Create data quality scoring,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,8.0,Jamie Reeves,Jordan Rivera,2025-09-24,2025-10-08,2025-10-14,PROJ-3,tech-debt,Reporting
PROJ-24,Story,Implement API response caching,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Avery Okafor,Alex Thompson,2025-10-02,2025-10-11,2025-10-12,PROJ-6,api,Reporting
PROJ-25,Sub-task,Review and refactor implement drill-down navigation,In Review,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Taylor Kim,Taylor Kim,2025-10-02,2025-10-06,,PROJ-2,fedramp,Authentication
PROJ-26,Task,Implement certificate management,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,1.0,Alex Thompson,Alex Thompson,2025-10-04,2025-10-17,2025-10-09,PROJ-5,ux,Reporting
PROJ-27,Story,Implement accessibility testing,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,8.0,Riley Patel,Jamie Reeves,2025-09-26,2025-10-13,2025-09-28,PROJ-8,accessibility,Database
PROJ-28,Story,Add role-based access control,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Morgan Chen,Casey Williams,2025-10-02,2025-10-15,2025-10-12,PROJ-1,"ux,accessibility",Backend API
