CVE_ID,Severity,Asset_Hostname,Plugin_ID,Plugin_Name,First_Seen,Last_Seen,Remediated_Date,Remediation_Status,CVSS_Score,Asset_OS,Asset_IP,Business_Unit
CVE-2023-49265,Low,WEB-DMZ-001,97833,Microsoft Windows SMB Multiple Vulnerabilities,2024-04-14,2024-10-04,,Open,2.2,Cisco IOS 15.7,10.10.109.9,Enterprise IT
CVE-2025-37781,Critical,PLC-MFG-001,177567,Zimbra Collaboration Suite Command Injection,2024-07-22,2025-01-04,,Open,9.4,CentOS 7,10.13.151.72,Manufacturing Operations
CVE-2024-11189,Low,DC-CORE-002,166012,Citrix ADC and Gateway Remote Code Execution,2024-08-08,2024-11-02,2024-09-26,Remediated,0.5,Red Hat Enterprise Linux 9,10.10.155.68,Enterprise IT
CVE-2022-20213,Low,SRV-EXEC-001,159123,VMware vCenter Server Remote Code Execution,2025-10-05,2026-03-12,,Open,1.5,Windows 11 Enterprise,10.17.181.18,Executive Office
CVE-2026-7619,Critical,HMI-MFG-002,104743,TLS Version 1.0 Protocol Detection,2025-01-24,2025-04-05,2025-03-12,Remediated,9.2,Red Hat Enterprise Linux 9,10.13.54.172,Manufacturing Operations
CVE-2024-17043,Medium,APP-FIN-001,20007,SSL Version 2 and 3 Protocol Detection,2024-06-16,2024-10-12,2024-11-06,Remediated,4.6,Red Hat Enterprise Linux 9,10.11.216.197,Finance & Accounting
CVE-2024-5337,Low,SRV-MFG-003,140290,Microsoft Exchange Server Remote Code Execution,2024-08-04,2024-12-27,,Open,1.3,CentOS 7,10.13.102.227,Manufacturing Operations
CVE-2023-49823,Low,SRV-EXEC-002,100871,Microsoft Windows SMBv1 Multiple Vulnerabilities,2025-07-28,2025-12-12,2025-12-25,Remediated,1.7,Cisco IOS 15.7,10.17.103.93,Executive Office
CVE-2025-8185,Medium,APP-HR-001,104743,TLS Version 1.0 Protocol Detection,2024-06-05,2024-11-12,2024-11-27,Remediated,5.2,Windows Server 2022,10.12.99.98,Human Resources
CVE-2026-1752,Medium,WKS-EXEC-003,184456,JetBrains TeamCity Authentication Bypass,2025-11-27,2026-02-27,2026-02-04,Remediated,6.2,Red Hat Enterprise Linux 9,10.17.29.76,Executive Office
